#SampleID	Replicate	Age	Diet	Location	Sort	SampleType	Age_Diet	AgeBinary	PCR
1-4C4-jpr	R1	Week7	CON	jej	Pre	Presort	Week7CON	Old	Plate2
1-4E1-fA	R1	Week7	EE	feces	IgAneg	Sorted	Week7EE	Old	Plate2
1-4E1-fAp	R1	Week7	EE	feces	IgApos	Sorted	Week7EE	Old	Plate2
1-4E1-fpr	R1	Week7	EE	feces	Pre	Presort	Week7EE	Old	Plate2
1-4E2-fA	R1	Week7	EE	feces	IgAneg	Sorted	Week7EE	Old	Plate2
1-4E2-fAp	R1	Week7	EE	feces	IgApos	Sorted	Week7EE	Old	Plate2
1-4E2-fpr	R1	Week7	EE	feces	Pre	Presort	Week7EE	Old	Plate2
1-4E3-fA	R1	Week7	EE	feces	IgAneg	Sorted	Week7EE	Old	Plate2
1-4E3-fAp	R1	Week7	EE	feces	IgApos	Sorted	Week7EE	Old	Plate2
1-4E3-fpr	R1	Week7	EE	feces	Pre	Presort	Week7EE	Old	Plate2
1-4E4-fA	R1	Week7	EE	feces	IgAneg	Sorted	Week7EE	Old	Plate2
1-4E4-fAp	R1	Week7	EE	feces	IgApos	Sorted	Week7EE	Old	Plate2
1-4E4-fpr	R1	Week7	EE	feces	Pre	Presort	Week7EE	Old	Plate2
1-4EE1-jA	R1	Week7	EE	jej	IgAneg	Sorted	Week7EE	Old	Plate2
1-4EE1-jAp	R1	Week7	EE	jej	IgApos	Sorted	Week7EE	Old	Plate2
1-4EE1-jpr	R1	Week7	EE	jej	Pre	Presort	Week7EE	Old	Plate2
1-4EE2-jA	R1	Week7	EE	jej	IgAneg	Sorted	Week7EE	Old	Plate2
1-4EE2-jAp	R1	Week7	EE	jej	IgApos	Sorted	Week7EE	Old	Plate2
1-4EE2-jpr	R1	Week7	EE	jej	Pre	Presort	Week7EE	Old	Plate2
1-4EE3-jA	R1	Week7	EE	jej	IgAneg	Sorted	Week7EE	Old	Plate2
1-4EE3-jAp	R1	Week7	EE	jej	IgApos	Sorted	Week7EE	Old	Plate2
